run_label,config_name,checkpoint_step,checkpoint_label,env_name,task_one_hot_idx,eval_seed,success_rate,avg_return,std_return,avg_steps,std_steps,avg_first_success_step,episodes,goals
pickplace_push,config_1,3350000,3350000,pick-place-v3,0,67,0.96,60.530013285705955,23.714616201330553,64.84,91.87266254141642,46.708333333333336,50,50
pickplace_push,config_1,3350000,3350000,push-v3,1,67,0.96,323.2402782502723,746.2951728810107,66.1,100.41388838000368,48.020833333333336,50,50
pickplace_push,config_1,3400000,3400000,pick-place-v3,0,67,1.0,64.29996683835888,22.16909032586477,46.0,17.388713205374785,46.0,50,50
pickplace_push,config_1,3400000,3400000,push-v3,1,67,1.0,131.56106808834718,28.368178867850972,39.92,4.351119959040337,39.92,50,50
pickplace_push,config_1,3450000,3450000,pick-place-v3,0,67,0.98,64.51981238182994,19.348420433636395,53.14,64.81370792273714,44.02040816326531,50,50
pickplace_push,config_1,3450000,3450000,push-v3,1,67,0.98,146.5530264169673,98.74554017903051,49.26,65.1907123721764,40.06122448979592,50,50
pickplace_push,config_1,3500000,3500000,pick-place-v3,0,67,1.0,65.67489929078636,18.505668380566338,46.84,23.36433703099575,46.84,50,50
pickplace_push,config_1,3500000,3500000,push-v3,1,67,0.98,199.7381479186361,424.3649420162091,49.74,65.14499056656902,40.55102040816327,50,50
pickplace_push,config_1,3550000,3550000,pick-place-v3,0,67,1.0,66.72553135706713,18.37586991706613,43.54,6.058254614952382,43.54,50,50
pickplace_push,config_1,3550000,3550000,push-v3,1,67,1.0,138.4770740290571,43.828047868813485,40.7,6.596999936582182,40.7,50,50
pickplace_push,config_1,3600000,3600000,pick-place-v3,0,67,1.0,66.66506314110148,17.917720543838925,42.72,5.879886157442999,42.72,50,50
pickplace_push,config_1,3600000,3600000,push-v3,1,67,1.0,135.54233760114198,32.7893233823014,39.72,4.6556526976156976,39.72,50,50
pickplace_push,config_1,3650000,3650000,pick-place-v3,0,67,1.0,66.01215467656698,19.06438123347703,42.8,6.305164711632546,42.8,50,50
pickplace_push,config_1,3650000,3650000,push-v3,1,67,1.0,168.5287885840093,243.82186051125996,43.8,30.22703209691211,43.8,50,50
pickplace_push,config_1,3700000,3700000,pick-place-v3,0,67,0.98,59.78683832153574,20.892220801986888,51.5,65.03539067935493,42.3469387755102,50,50
pickplace_push,config_1,3700000,3700000,push-v3,1,67,0.98,200.8423091528353,513.8342853368518,48.6,65.35398118816371,39.38775510204081,50,50
pickplace_push,config_1,3750000,3750000,pick-place-v3,0,67,0.98,59.116102939649245,22.10089850817539,51.52,65.05891835208189,42.36734693877551,50,50
pickplace_push,config_1,3750000,3750000,push-v3,1,67,1.0,170.50455871003385,174.455810940556,44.26,21.628411020352512,44.26,50,50
pickplace_push,config_1,3800000,3800000,pick-place-v3,0,67,1.0,61.01131380431254,23.482990839961303,44.12,7.081565605752124,44.12,50,50
pickplace_push,config_1,3800000,3800000,push-v3,1,67,1.0,158.33409818012868,215.31202233522643,42.82,26.48965142566171,42.82,50,50
pickplace_push,config_1,3850000,3850000,pick-place-v3,0,67,1.0,60.47981186538021,22.82639253382388,44.02,7.619764847193817,44.02,50,50
pickplace_push,config_1,3850000,3850000,push-v3,1,67,1.0,124.51725925755349,27.42860257912152,38.62,4.313670722486918,38.62,50,50
pickplace_push,config_1,3900000,3900000,pick-place-v3,0,67,1.0,63.11881532478773,21.471700872860765,46.38,8.815315985168503,46.38,50,50
pickplace_push,config_1,3900000,3900000,push-v3,1,67,1.0,132.7903470096953,59.97139545098138,39.48,8.25916930151092,39.48,50,50
pickplace_push,config_1,3950000,3950000,pick-place-v3,0,67,1.0,59.867534971388324,23.734319199066956,46.5,8.96535281070456,46.5,50,50
pickplace_push,config_1,3950000,3950000,push-v3,1,67,1.0,127.20908901694142,39.0909510484429,39.06,5.538031772964774,39.06,50,50
pickplace_push,config_1,4000000,4000000,pick-place-v3,0,67,1.0,60.14519226769862,22.935957863822026,45.2,8.124038404635959,45.2,50,50
pickplace_push,config_1,4000000,4000000,push-v3,1,67,1.0,137.1737799047237,71.54474495717885,40.02,10.35194943683832,40.02,50,50
pickplace_push,config_1,4050000,4050000,pick-place-v3,0,67,1.0,59.04346620706252,22.838598821563078,44.16,7.8020405494135865,44.16,50,50
pickplace_push,config_1,4050000,4050000,push-v3,1,67,1.0,121.35288658817359,43.535990164578365,37.78,5.346331948740412,37.78,50,50
pickplace_push,config_1,4100000,4100000,pick-place-v3,0,67,1.0,58.52984599024911,22.800651324223445,43.62,7.367579282898549,43.62,50,50
pickplace_push,config_1,4100000,4100000,push-v3,1,67,1.0,117.71271084211106,35.586703096289305,37.0,4.285714285714286,37.0,50,50
pickplace_push,config_1,4150000,4150000,pick-place-v3,0,67,0.98,58.3591427493235,23.141186802084572,53.58,64.88737180999213,44.46938775510204,50,50
pickplace_push,config_1,4150000,4150000,push-v3,1,67,1.0,122.23952597648078,26.937981108535254,37.4,4.271404682207444,37.4,50,50
pickplace_push,config_1,4200000,4200000,pick-place-v3,0,67,1.0,57.980254508097936,24.37728898021365,45.46,7.884911967466337,45.46,50,50
pickplace_push,config_1,4200000,4200000,push-v3,1,67,1.0,125.62388039164416,26.80643788707938,37.58,4.228619690844274,37.58,50,50
pickplace_push,config_1,4250000,4250000,pick-place-v3,0,67,1.0,59.534458835882795,22.539611911072218,45.12,7.779197797160512,45.12,50,50
pickplace_push,config_1,4250000,4250000,push-v3,1,67,1.0,127.23892111675707,29.696554703011532,37.52,4.477791000582537,37.52,50,50
pickplace_push,config_1,4300000,4300000,pick-place-v3,0,67,1.0,58.99210012331801,22.118483877902353,44.12,6.944796907155216,44.12,50,50
pickplace_push,config_1,4300000,4300000,push-v3,1,67,1.0,126.04459120139899,29.288485266088003,37.5,4.482391854210637,37.5,50,50
pickplace_push,config_1,4350000,4350000,pick-place-v3,0,67,1.0,59.65252655544557,22.101461186654745,44.18,7.147684083330912,44.18,50,50
pickplace_push,config_1,4350000,4350000,push-v3,1,67,1.0,134.980795969727,55.53382610163442,38.3,7.285013971944639,38.3,50,50
pickplace_push,config_1,4400000,4400000,pick-place-v3,0,67,0.98,58.844209222191985,23.0258722742164,53.08,64.85079893454652,43.95918367346939,50,50
